Fase,Duração (min),Altitude (ft),Mach,Estratégia de Queima,Empuxo Requerido (kN),Empuxo Obtido (kN),Erro de Empuxo (%),Combustível Total (kg),H2 Consumido (kg),Querosene Consumido (kg),Energia H2 (MJ),Energia Querosene (MJ),Emissão CO2 (kg),Emissão H2O (kg),TSFC (kg/s/kN),N2 (%),N1 (%),f (razão comb/ar),chi (fração H2 no motor),Vazão de Ar (kg/s),T04 (K),BPR,Prf,Prc
Taxi (Saída),1,0,0.0000,proportional,121.4000,121.4000,0.0000,77.5800,0.0000,77.5800,0.0000,3491.1000,244.3770,95.9665,0.0107,99.2272,100.0000,0.0193,0.0000,401.1075,1555.9870,5.0000,1.5000,19.0667
Decolagem,1,0,0.2000,proportional,94.6920,94.6920,-0.0000,74.7437,0.0000,74.7437,0.0000,3363.4665,235.4427,92.4580,0.0132,98.5498,99.1277,0.0189,0.0000,393.0145,1544.0214,4.9660,1.5465,18.6239
Subida 1,8,5830,0.2980,proportional,24.2800,24.2800,0.0000,163.2182,0.0000,163.2182,0.0000,7344.8181,514.1373,201.9009,0.0140,78.6009,70.8680,0.0134,0.0000,187.8157,1163.6359,6.4169,1.2120,11.5522
Subida 2,8,17500,0.4940,proportional,18.2100,18.2100,0.0000,145.3785,0.0000,145.3785,0.0000,6542.0324,457.9423,179.8332,0.0166,81.6521,75.1904,0.0151,0.0000,145.0205,1215.2526,6.2380,1.2556,12.7219
Subida 3,8,29170,0.6910,proportional,8.4980,8.4980,0.0000,81.8114,0.0000,81.8114,0.0000,3681.5133,257.7059,101.2007,0.0201,78.1069,70.1683,0.0150,0.0000,84.7096,1155.5032,6.4444,1.2052,11.3640
Cruzeiro,10,35000,0.7890,proportional,21.8520,21.8520,0.0001,259.7969,0.0000,259.7969,0.0000,11690.8605,818.3602,321.3688,0.0198,97.7337,97.9715,0.0218,0.0000,120.1810,1526.4704,5.0384,1.5305,18.3903
Loiter,10,15000,0.4000,proportional,1.2140,1.2140,0.0000,42.1146,0.0000,42.1146,0.0000,1895.1551,132.6609,52.0957,0.0578,56.7127,39.8612,0.0106,0.0000,54.6038,862.8588,7.2440,0.9800,4.8730
Descida 1,8,29170,0.6910,proportional,1.2140,1.2140,0.0000,24.2700,0.0000,24.2700,0.0000,1092.1509,76.4506,30.0220,0.0416,58.8115,42.8344,0.0115,0.0000,36.0015,886.4119,7.1994,0.9961,5.2734
Descida 2,8,17500,0.4940,proportional,1.2140,1.2140,0.0000,31.4510,0.0000,31.4510,0.0000,1415.2954,99.0707,38.9049,0.0540,56.9316,40.1713,0.0107,0.0000,50.6317,865.2630,7.2397,0.9816,4.9114
Descida 3,8,5830,0.2980,proportional,1.2140,1.2140,0.0001,42.6560,0.0000,42.6560,0.0000,1919.5181,134.3663,52.7654,0.0732,56.9855,40.2476,0.0100,0.0000,73.5022,865.8567,7.2386,0.9820,4.9209
Pouso,1,0,0.2000,proportional,8.4980,8.4980,-0.0000,9.5923,0.0000,9.5923,0.0000,431.6548,30.2158,11.8657,0.0188,64.9704,51.5591,0.0105,0.0000,122.1502,962.0028,7.0260,1.0510,6.8225
Taxi (Chegada),5,0,0.0000,proportional,8.4980,8.4980,0.0002,38.3391,0.0000,38.3391,0.0000,1725.2602,120.7682,47.4255,0.0150,61.1546,46.1535,0.0101,0.0000,102.5570,914.0310,7.1409,1.0157,5.8015
