Fase,Duração (min),Empuxo Requerido (kN),Empuxo Obtido (kN),Combustível Total (kg),Emissão CO2 (kg),Emissão H2O (kg),TSFC (kg/s/kN),N2 (%)
Taxi (Saída),1,121.400,121.400,77.580,244.377,95.966,0.011,99.227
Decolagem,1,94.692,94.692,74.744,235.443,92.458,0.013,98.550
Subida 1,8,24.280,24.280,163.218,514.137,201.901,0.014,78.601
Subida 2,8,18.210,18.210,145.378,457.942,179.833,0.017,81.652
Subida 3,8,8.498,8.498,81.811,257.706,101.201,0.020,78.107
Cruzeiro,10,21.852,21.852,259.797,818.360,321.369,0.020,97.734
Loiter,10,1.214,1.214,42.115,132.661,52.096,0.058,56.713
Descida 1,8,1.214,1.214,24.270,76.451,30.022,0.042,58.812
Descida 2,8,1.214,1.214,31.451,99.071,38.905,0.054,56.932
Descida 3,8,1.214,1.214,42.656,134.366,52.765,0.073,56.985
Pouso,1,8.498,8.498,9.592,30.216,11.866,0.019,64.970
Taxi (Chegada),5,8.498,8.498,38.339,120.768,47.425,0.015,61.155
